date,total_mentions,avg_tone
2023-08-21,512482,-2.0746612405952729
2023-08-22,581711,-2.1021907897580423
2023-08-23,558558,-2.1944848552931653
2023-08-24,612682,-2.2991358617075397
2023-08-25,549882,-2.4211340302579867
2023-08-26,345280,-2.2802961146210405
2023-08-27,310957,-2.4851945135870088
2023-08-28,500655,-2.1011674195675822
2023-08-29,527072,-2.1447324344383736
2023-08-30,551831,-2.3034772227914648
2023-08-31,536461,-2.3456064668271779
2023-09-01,505951,-2.0070675613743227
2023-09-02,320705,-1.8991327094990571
2023-09-03,273826,-1.8204517224802315
2023-09-04,472669,-1.5899353433234868
2023-09-05,563050,-1.8251940803872402
2023-09-06,608007,-1.8327549116574595
2023-09-07,607395,-1.7476251334752058
2023-09-08,576440,-1.5131194750521453
2023-09-09,377068,-1.6189495438104946
2023-09-10,366504,-1.4312568771040233
2023-09-11,565720,-1.451567203441293
2023-09-12,616476,-1.8540179946479751
2023-09-13,637089,-1.8596180397069246
2023-09-14,607359,-1.9732018173559007
2023-09-15,582773,-1.9977223094499519
2023-09-16,380640,-2.2189696110822514
2023-09-17,334103,-1.810188893881753
2023-09-18,583203,-1.9476928527762145
2023-09-19,688577,-2.2495992492409029
2023-09-20,674097,-2.2051768412046471
2023-09-21,648068,-1.8452801744309197
2023-09-22,601446,-1.7206901463838067
2023-09-23,392448,-1.7586239772533381
